latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),compass_heading(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,flycStateRaw,flycState,message
37.61333459,-119.0210435,8983.981202,0,0,0,0,2017/07/27 19:18:37,12,0,8983.981202,0,0,0,172.5,0,0,364,1684,364,364,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.6133346,-119.0210435,8983.981202,0,0,0.002613018,100,2017/07/27 19:18:37,12,0,8983.981202,0,0,0.002613018,172.5,0,0,364,1684,364,364,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.6133346,-119.0210435,8983.981202,0,0,0.002613018,100,2017/07/27 19:18:37,12,0,8983.981202,0,0,0.002613018,172.5,0,0,364,1684,364,364,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,Home Point Recorded
37.61333461,-119.0210435,8983.981202,0,0,0.008060761,300,2017/07/27 19:18:37,12,0,8983.981202,0,0,0.008060761,172.5,0,0,364,1684,364,364,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.61333461,-119.0210435,8983.981202,0,0,0.010812402,400,2017/07/27 19:18:38,12,0,8983.981202,0,0,0.010812402,172.5,0,0,804,1104,561,442,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.61333462,-119.0210435,8983.981202,0,0,0.013381398,500,2017/07/27 19:18:38,12,0,8983.981202,0,0,0.013381398,172.5,0,0,1024,1024,1024,1024,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.61333462,-119.0210435,8983.981202,0,0,0.01569006,600,2017/07/27 19:18:38,12,0,8983.981202,0,0,0.01569006,172.5,0,0,1024,1024,1024,1024,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.61333463,-119.0210435,8983.981202,0,0,0.018034581,700,2017/07/27 19:18:38,12,0,8983.981202,0,0,0.018034581,172.5,0,0,1024,1024,1024,1024,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.61333464,-119.0210435,8983.981202,0,0,0.020548951,800,2017/07/27 19:18:38,12,0,8983.981202,0,0,0.020548951,172.5,0,0,1024,1024,1024,1024,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.61333464,-119.0210435,8983.981202,0,0,0.022978839,900,2017/07/27 19:18:38,12,25.782,8983.981202,0,0,0.022978839,172.5,0,0,1024,1024,1024,1024,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.61333465,-119.0210435,8983.981202,0,0,0.025321097,1000,2017/07/27 19:18:38,12,25.782,8983.981202,0,0,0.025321097,172.5,0,0,1024,1024,1024,1024,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
37.61333465,-119.0210435,8983.981202,0,0,0.027672934,1100,2017/07/27 19:18:38,12,25.782,8983.981202,0,0,0.027672934,172.5,0,0,1024,1024,1024,1024,0,0,97,4.289,4.299,4.294,4.301,4.302,4.296,6,GPS_Atti,
