latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),compass_heading(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,flycStateRaw,flycState,message
37.613331,-119.021021,9039.187836,55.45013301,3.82999919,0,380,2017/07/27 21:34:13,14,0,9039.187836,55.45013301,3.82999919,0,278.1,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
37.61333,-119.021019,9039.187836,55.45013301,3.82999919,0.683543329,510,2017/07/27 21:34:14,14,0,9039.187836,55.45013301,3.82999919,0.683543329,278,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
37.61333,-119.021017,9038.857783,55.1200805,4.050002239,1.212263818,610,2017/07/27 21:34:14,14,0,9039.187836,55.45013301,4.050002239,1.212263818,278,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
37.613329,-119.021013,9038.527731,54.790028,4.079999605,2.424530917,730,2017/07/27 21:34:14,14,0,9039.187836,55.45013301,4.079999605,2.424530917,278.3,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
37.613329,-119.021011,9038.527731,54.790028,4.079999605,2.98083999,850,2017/07/27 21:34:14,14,0,9039.187836,55.45013301,4.079999605,2.98083999,278.2,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
37.613328,-119.021009,9038.527731,54.790028,4.079999605,3.636778332,1010,2017/07/27 21:34:14,14,22.8,9039.187836,55.45013301,4.079999605,3.636778332,278,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
37.613328,-119.021007,9038.527731,54.790028,4.050002239,4.191633992,1120,2017/07/27 21:34:14,14,22.8,9039.187836,55.45013301,4.079999605,4.191633992,277.8,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
37.613328,-119.021005,9038.527731,54.790028,4.050002239,4.752001464,1220,2017/07/27 21:34:14,14,22.8,9039.187836,55.45013301,4.079999605,4.752001464,277.7,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
37.613327,-119.021003,9038.527731,54.790028,4.050002239,5.403084162,1340,2017/07/27 21:34:14,14,22.8,9039.187836,55.45013301,4.079999605,5.403084162,277.7,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
37.613327,-119.020999,9038.527731,54.790028,4.050002239,6.523655064,1460,2017/07/27 21:34:14,14,22.8,9039.187836,55.45013301,4.079999605,6.523655064,278,0,0,1024,1024,1024,1024,0,0,70,3.795,3.83,3.777,3.808,0,0,17,Joystick,
