latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),compass_heading(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,flycStateRaw,flycState,message
37.61330537,-119.0210577,8984.146205,0,0,0,4200,2017/07/27 20:59:47,13,0,8984.146205,0,0,0,174.8,0,0,364,1684,364,364,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330537,-119.0210577,8984.146205,0,0,0.000437205,4300,2017/07/27 20:59:47,13,0,8984.146205,0,0,0.000437205,174.8,0,0,364,1684,364,364,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330537,-119.0210577,8984.146205,0,0,0.00094188,4400,2017/07/27 20:59:48,13,0,8984.146205,0,0,0.00094188,174.7,0,0,364,1684,364,364,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330537,-119.0210577,8984.146205,0,0,0.001608524,4500,2017/07/27 20:59:48,13,0,8984.146205,0,0,0.001608524,174.7,0,0,364,1684,364,364,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330537,-119.0210577,8984.146205,0,0,0.002593901,4600,2017/07/27 20:59:48,13,0,8984.146205,0,0,0.002593901,174.7,0,0,364,1684,364,364,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330538,-119.0210577,8984.146205,0,0,0.003546424,4700,2017/07/27 20:59:48,13,0,8984.146205,0,0,0.003546424,174.7,0,0,364,1684,364,364,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330538,-119.0210577,8984.146205,0,0,0.005065026,4800,2017/07/27 20:59:48,13,0,8984.146205,0,0,0.005065026,174.7,0,0,410,1684,364,364,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330539,-119.0210577,8984.146205,0,0,0.006967553,4900,2017/07/27 20:59:48,13,0,8984.146205,0,0,0.006967553,174.7,0,0,863,1405,762,521,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330539,-119.0210577,8984.146205,0,0,0.009940617,5000,2017/07/27 20:59:48,13,0,8984.146205,0,0,0.009940617,174.7,0,0,1024,1024,1024,1024,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.6133054,-119.0210577,8984.146205,0,0,0.012810729,5100,2017/07/27 20:59:48,13,25.734,8984.146205,0,0,0.012810729,174.7,0,0,1024,1024,1024,1024,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330541,-119.0210577,8984.146205,0,0,0.015365552,5200,2017/07/27 20:59:48,13,25.734,8984.146205,0,0,0.015365552,174.7,0,0,1024,1024,1024,1024,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
37.61330541,-119.0210577,8984.146205,0,0,0.015644357,5300,2017/07/27 20:59:48,13,25.734,8984.146205,0,0,0.015644357,174.7,0,0,1024,1024,1024,1024,0,0,95,4.282,4.291,4.288,4.291,4.293,4.288,6,GPS_Atti,
