latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),compass_heading(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,flycStateRaw,flycState,message
37.61333541,-119.0210382,8983.899502,0,0,0,100,2017/07/27 18:55:25,10,0,8983.899502,0,0,0,180.5,0,0,364,1684,364,364,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.6133354,-119.0210382,8983.899502,0,0,0.00329918,200,2017/07/27 18:55:25,10,0,8983.899502,0,0,0.00329918,180.5,0,0,364,1684,364,364,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.6133354,-119.0210382,8983.899502,0,0,0.004259744,300,2017/07/27 18:55:25,10,0,8983.899502,0,0,0.004259744,180.5,0,0,364,1684,364,364,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.6133354,-119.0210382,8983.899502,0,0,0.004746522,400,2017/07/27 18:55:25,10,0,8983.899502,0,0,0.004746522,180.5,0,0,551,1561,450,364,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.6133354,-119.0210381,8983.899502,0,0,0.005666503,500,2017/07/27 18:55:25,10,0,8983.899502,0,0,0.005666503,180.5,0,0,905,1085,826,772,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333539,-119.0210381,8983.899502,0,0,0.008127133,600,2017/07/27 18:55:25,10,0,8983.899502,0,0,0.008127133,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333538,-119.0210381,8983.899502,0,0,0.011548655,700,2017/07/27 18:55:25,10,0,8983.899502,0,0,0.011548655,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333537,-119.0210381,8983.899502,0,0,0.015705775,800,2017/07/27 18:55:25,10,0,8983.899502,0,0,0.015705775,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333536,-119.0210381,8983.899502,0,0,0.021314305,900,2017/07/27 18:55:25,10,0,8983.899502,0,0,0.021314305,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333534,-119.0210381,8983.899502,0,0,0.028133761,1000,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.028133761,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333532,-119.0210381,8983.899502,0,0,0.035201773,1100,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.035201773,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.6133353,-119.0210381,8983.899502,0,0,0.041658794,1200,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.041658794,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333528,-119.0210381,8983.899502,0,0,0.04765092,1300,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.04765092,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333527,-119.0210381,8983.899502,0,0,0.051978676,1400,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.051978676,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333527,-119.0210381,8983.899502,0,0,0.054244752,1500,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.054244752,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333526,-119.0210381,8983.899502,0,0,0.056484582,1600,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.056484582,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333525,-119.0210382,8983.899502,0,0,0.057485238,1700,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.057485238,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333525,-119.0210382,8983.899502,0,0,0.06023655,1800,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.06023655,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333523,-119.0210382,8983.899502,0,0,0.066028874,1900,2017/07/27 18:55:26,10,25.697,8983.899502,0,0,0.066028874,180.5,0,0,1024,1024,1024,1024,0,0,96,4.285,4.291,4.289,4.278,4.281,4.273,6,GPS_Atti,
37.61333521,-119.0210382,8983.899502,0,0,0.073055777,2000,2017/07/27 18:55:27,9,25.697,8983.899502,0,0,0.073055777,180.5,0,0,1024,1024,1024,1024,0,0,96,4.286,4.29,4.289,4.278,4.281,4.274,10,Assisted_Takeoff,
37.6133352,-119.0210382,8983.899502,0,0,0.07891995,2100,2017/07/27 18:55:27,9,25.697,8983.899502,0,0,0.07891995,180.5,0,0,1024,1024,1024,1024,0,0,96,4.286,4.29,4.289,4.278,4.281,4.274,10,Assisted_Takeoff,Return-to-Home Altitude:98FT
37.61333519,-119.0210382,8983.899502,0,0,0.082698165,2200,2017/07/27 18:55:27,9,25.697,8983.899502,0,0,0.082698165,180.5,0,0,1024,1024,1024,1024,0,0,96,4.286,4.29,4.289,4.278,4.281,4.274,10,Assisted_Takeoff,
37.61333519,-119.0210382,8983.899502,0,0,0.085432089,2300,2017/07/27 18:55:27,9,25.697,8983.899502,0,0,0.085432089,180.5,0,0,1024,1024,1026,1024,0,0,96,4.286,4.29,4.289,4.278,4.281,4.274,10,Assisted_Takeoff,
